#,Date-time,Nest,Ambient
5076,09/10/11 07:52:44 PM,36.362,20.96
5077,09/10/11 07:53:44 PM,36.389,20.936
5078,09/10/11 07:54:44 PM,36.498,21.008
5079,09/10/11 07:55:44 PM,36.2,20.984
5080,09/10/11 07:56:44 PM,36.227,21.008
5081,09/10/11 07:57:44 PM,36.389,20.96
5082,09/10/11 07:58:44 PM,36.606,21.079
5083,09/10/11 07:59:44 PM,36.633,21.079
5084,09/10/11 08:00:44 PM,36.688,21.079
5085,09/10/11 08:01:44 PM,36.715,21.079
5086,09/10/11 08:02:44 PM,36.715,21.079
5087,09/10/11 08:03:44 PM,36.389,21.056
5088,09/10/11 08:04:44 PM,36.281,21.056
5089,09/10/11 08:05:44 PM,36.417,21.127
5090,09/10/11 08:06:44 PM,36.552,21.008
5091,09/10/11 08:07:44 PM,36.633,21.008
5092,09/10/11 08:08:44 PM,36.769,21.079
5093,09/10/11 08:09:44 PM,36.633,21.032
5094,09/10/11 08:10:44 PM,36.715,21.056
5095,09/10/11 08:11:44 PM,36.119,21.199
5096,09/10/11 08:12:44 PM,36.146,21.079
5097,09/10/11 08:13:44 PM,36.173,20.984
5098,09/10/11 08:14:44 PM,36.308,21.032
5099,09/10/11 08:15:44 PM,36.417,21.056
5100,09/10/11 08:16:44 PM,36.552,21.008
5101,09/10/11 08:17:44 PM,36.552,20.984
5102,09/10/11 08:18:44 PM,36.633,21.127
5103,09/10/11 08:19:44 PM,36.633,20.984
5104,09/10/11 08:20:44 PM,36.661,21.008
5105,09/10/11 08:21:44 PM,36.715,20.984
5106,09/10/11 08:22:44 PM,36.661,20.984
5107,09/10/11 08:23:44 PM,36.661,21.008
5108,09/10/11 08:24:44 PM,36.579,21.175
5109,09/10/11 08:25:44 PM,36.661,21.151
5110,09/10/11 08:26:44 PM,36.905,21.151
5111,09/10/11 08:27:44 PM,36.851,21.103
5112,09/10/11 08:28:44 PM,36.905,21.151
5113,09/10/11 08:29:44 PM,36.987,21.056
5114,09/10/11 08:30:44 PM,36.987,21.103
5115,09/10/11 08:31:44 PM,36.824,20.984
5116,09/10/11 08:32:44 PM,36.933,21.056
5117,09/10/11 08:33:44 PM,36.851,21.056
5118,09/10/11 08:34:44 PM,36.742,21.008
5119,09/10/11 08:35:44 PM,36.688,21.008
5120,09/10/11 08:36:44 PM,36.688,21.008
5121,09/10/11 08:37:44 PM,36.552,21.008
5122,09/10/11 08:38:44 PM,36.579,21.032
5123,09/10/11 08:39:44 PM,36.552,21.127
5124,09/10/11 08:40:44 PM,37.206,21.103
5125,09/10/11 08:41:44 PM,37.37,21.127
5126,09/10/11 08:42:44 PM,37.453,21.127
5127,09/10/11 08:43:44 PM,37.425,21.079
5128,09/10/11 08:44:44 PM,36.824,21.199
5129,09/10/11 08:45:44 PM,36.96,21.175
5130,09/10/11 08:46:44 PM,36.987,21.175
5131,09/10/11 08:47:44 PM,37.042,21.246
5132,09/10/11 08:48:44 PM,37.069,21.175
5133,09/10/11 08:49:44 PM,37.015,21.175
5134,09/10/11 08:50:44 PM,36.96,21.127
5135,09/10/11 08:51:44 PM,37.151,21.151
5136,09/10/11 08:52:44 PM,36.824,21.127
5137,09/10/11 08:53:44 PM,36.742,21.151
5138,09/10/11 08:54:44 PM,36.742,21.199
5139,09/10/11 08:55:44 PM,36.851,21.199
5140,09/10/11 08:56:44 PM,36.715,21.175
5141,09/10/11 08:57:44 PM,36.715,21.151
5142,09/10/11 08:58:44 PM,36.715,20.984
